""State"",""Surname"",""First Name"",""Other Names"",""Preferred Name"",""Initials"",""Courtesy Title"",""Salutation"",""Honorific"",""Gender"",""Parliament House Telephone"",""Parliament House Fax"",""Political Party"",""Electorate"",""Electorate Office Postal Address"",""Electorate Office Postal Suburb"",""Electorate Office Postal State"",""Electorate Office Postal PostCode"",""Electorate Office Fax"",""Electorate Office Phone"",""Electorate Office Toll Free"",""Parliamentary Titles""
"Vic","Griffin","Alan","Peter","","A. P.","The Hon","Mr","MP","MALE","(02) 6277 4303","(02) 6277 8499","ALP","Bruce","PO Box 1034","Waverley Gardens","Vic","3170","(03) 9547 7944","(03) 9547 1444","",""
"Vic","Henderson","Sarah","Moya","Sarah","S. M.","Ms","Ms","MP","FEMALE","(02) 6277 4172","(02) 6277 2043","LP","Corangamite","3A/195 Colac Rd","Waurn Ponds","Vic","3216","(03) 5243 1666","(03) 5243 1444","",""
"Vic","Hunt","Gregory","Andrew","Greg","G. A.","The Hon","Mr","MP","MALE","(02) 6277 7920","(02) 6273 7330","LP","Flinders","PO Box 274","Hastings","Vic","3915","(03) 5979 3034","(03) 5979 3188","","Minister for the Environment"
"Vic","King","Catherine","Fiona","","C. F.","The Hon","Ms","MP","FEMALE","(02) 6277 4407","(02) 6277 4998","ALP","Ballarat","5 Lydiard Street North","Ballarat","Vic","3350","(03) 5333 7710","(03) 5338 8123","",""
"Vic","Macklin","Jennifer","Louise","Jenny","J. L.","The Hon","Ms","MP","FEMALE","(02) 6277 4305","(02) 6277 8595","ALP","Jagajaga","PO Box 316","Heidelberg","Vic","3084","(03) 9457 5721","(03) 9459 1411","",""
"Vic","Marles","Richard","Donald","","R. D.","The Hon","Mr","MP","MALE","(02) 6277 4330","(02) 6277 8599","ALP","Corio","17A Yarra Street","Geelong","Vic","3220","(03) 5222 4505","(03) 5221 3033","",""
"Vic","McGowan","Catherine","","Cathy","C.","Ms","Ms","AO, MP","FEMALE","(02) 6277 4778","(02) 6277 2365","Ind.","Indi","117 Murphy Street","Wangaratta","Vic","3677","(03) 5721 7066","(03) 5721 7077","",""
"Vic","Mitchell","Robert","George","Rob","R. G.","Mr","Mr","MP","MALE","(02) 6277 4117","(02) 6277 8443","ALP","McEwen","Suite 4B, 61 High Street","Wallan","Vic","3756","(03) 5783 4889","(03) 5783 4880, 1300 701 966","","Second Deputy Speaker"
"Vic","O'Connor","Brendan","Patrick John","","B. P. J.","The Hon","Mr","MP","MALE","(02) 6277 4105","(02) 6277 2286","ALP","Gorton","Suite 1 Level 2 13-15 Lake Street","Caroline Springs","Vic","3023","(03) 8358 4245","(03) 8390 6166","",""
"Vic","O'Dwyer","Kelly","Megan","Kelly","K. M.","Ms","Ms","MP","FEMALE","(02) 6277 4155","(02) 6277 8453","LP","Higgins","Suite 1, 1343 Malvern Road","Malvern","Vic","3144","(03) 9822 0319","(03) 9822 4422","",""
"Vic","O'Neil","Clare","Ellen","","C. E.","Ms","Ms","MP","FEMALE","(02) 6277 4907","(02) 6277 2347","ALP","Hotham","PO Box 5295","Clayton","Vic","3168","(03) 9545 6299","(03) 9545 6211","",""
"Vic","Robb","Andrew","John","","A. J.","The Hon","Mr","AO, MP","MALE","(02) 6277 7420","(02) 6273 4128","LP","Goldstein","368 Centre Road","Bentleigh","Vic","3204","(03) 9557 2906","(03) 9557 4644","","Minister for Trade and Investment"
"Vic","Ryan","Joanne","Catherine","Joanne","J. C.","Ms","Ms","MP","FEMALE","(02) 6277 4398","(02) 6277 2364","ALP","Lalor","2/36 Synnot Street","Werribee","Vic","3030","(03) 9741 6213","(03) 9742 5800","","Opposition Whip"
"Vic","Shorten","William","Richard","Bill","W. R.","The Hon","Mr","MP","MALE","(02) 6277 4022","(02) 6277 8562","ALP","Maribyrnong","PO Box 214","Moonee Ponds","Vic","3039","(03) 9326 0611","(03) 9326 1300","","Leader of the Opposition"
"Vic","Smith","Anthony","David Hawthorn","Tony","A. D. H.","The Hon","Mr","MP","MALE","(02) 6277 4284","(02) 6277 8439","LP","Casey","PO Box 40","Chirnside Park","Vic","3116","(03) 9727 0833","(03) 9727 0799","",""
"Vic","Stone","Sharman","Nancy","","S. N.","The Hon Dr","Dr","MP","FEMALE","(02) 6277 4477","(02) 6277 8454","LP","Murray","PO Box 884","Shepparton","Vic","3632","(03) 5821 8429","(03) 5821 5371","",""
"Vic","Sukkar","Michael","Sven","Michael","M. S.","Mr","Mr","MP","MALE","(02) 6277 4847","(02) 6277 4862","LP","Deakin","PO Box 232","Mitcham","Vic","3132","(03) 9874 0599","(03) 9874 1711","",""
"Vic","Tehan","Daniel","Thomas","Dan","D. T.","Mr","Mr","MP","MALE","(02) 6277 4393","(02) 6277 8538","LP","Wannon","190 Gray Street","Hamilton","Vic","3300","(03) 5572 1141","(03) 5572 1100","1300 131 692",""
"Vic","Thomson","Kelvin","John","","K. J.","The Hon","Mr","MP","MALE","(02) 6277 4633","(02) 6277 8409","ALP","Wills","3 Munro Street","Coburg","Vic","3058","(03) 9350 6613","(03) 9350 5777","",""
"Vic","Tudge","Alan","Edward","Alan","A. E.","The Hon","Mr","MP","MALE","(02) 6277 4354","(02) 6277 8487","LP","Aston","Suite 4, Level 1, 420 Burwood Highway","Wantirna South","Vic","3152","(03) 9887 3893","(03) 9887 3890","","Parliamentary Secretary to the Prime Minister"
"Vic","Vamvakinou","Maria","","","M.","Ms","Ms","MP","FEMALE","(02) 6277 4249","(02) 6277 8426","ALP","Calwell","Office 6, 1100 Pascoe Vale Road","Broadmeadows","Vic","3047","(03) 9309 4255","(03) 9309 3655","",""
"Vic","Watts","Timothy","Graham","Tim","T. G.","Mr","Mr","MP","MALE","(02) 6277 4537","(02) 6277 2327","ALP","Gellibrand","1 Thomas Holmes Street","Maribyrnong","Vic","3032","(03) 9317 7477","(03) 9317 7077","",""
"Vic","Wood","Jason","Peter","Jason","J. P.","Mr","Mr","MP","MALE","(02) 6277 4982","(02) 6277 4994","LP","La Trobe","PO Box 539","Berwick","Vic","3806","(03) 9768 9883","(03) 9768 9164","",""
"WA","Bishop","Julie","Isabel","","J. I.","The Hon","Ms","MP","FEMALE","(02) 6277 7500","(02) 6273 4112","LP","Curtin","PO Box 2010,","Subiaco","WA","6904","(08) 9388 0299","(08) 9388 0288","","Minister for Foreign Affairs"
"WA","Goodenough","Ian","Reginald","Ian","I. R.","Mr","Mr","MP","MALE","(02) 6277 4651","(02) 6277 2082","LP","Moore","3 Boas Avenue","Joondalup","WA","6027","(08) 9300 2245","(08) 9300 2244","",""
"WA","Gray","Gary","","","G.","The Hon","Mr","AO, MP","MALE","(02) 6277 4913","(02) 6277 4937","ALP","Brand","1/15 Kent Street, Rockingham","","WA","6168","(08) 9592 1361","(08) 9527 9377","",""
"WA","Irons","Stephen","James","Steve","S. J.","Mr","Mr","MP","MALE","(02) 6277 4337","(02) 6277 8494","LP","Swan","PO Box 1060","East Victoria Park","WA","6981","(08) 9355 0199","(08) 9355 0099","",""
"WA","Jensen","Dennis","Geoffrey","Dennis","D. G.","Dr","Dr","MP","MALE","(02) 6277 4156","(02) 6277 8460","LP","Tangney","PO Box 329","Willetton","WA","6955","(08) 9354 9233","(08) 9354 9633","",""
"WA","Keenan","Michael","","","M.","The Hon","Mr","MP","MALE","(02) 6277 7290","(02) 6273 7098","LP","Stirling","PO Box 261","Osborne Park","WA","6917","(08) 9440 3988","(08) 9440 3999","","Minister for Justice"
"WA","MacTiernan","Alannah","Joan Geraldine Cecilia","Alannah","A. J. G. C.","Hon","Ms","MP","FEMALE","(02) 6277 4835","(02) 6277 4851","ALP","Perth","PO Box 901","Inglewood","WA","6932","(08) 9272 3477","(08) 9272 3411","",""
"WA","Marino","Nola","Bethwyn","","N. B.","Ms","Ms","MP","FEMALE","(02) 6277 2318","(02) 6277 8450","LP","Forrest","PO Box 2028","Bunbury","WA","6231","(08) 9721 4911","(08) 9721 3788","","Government Whip"
"WA","Parke","Melissa","","","M.","The Hon","Ms","MP","FEMALE","(02) 6277 4504","6277 2237","ALP","Fremantle","PO Box 1224","Fremantle","WA","6959","(08) 9336 1059","(08) 9335 8555","",""
"WA","Porter","Charles","Christian","Christian","C. C.","Hon","Mr","MP","MALE","(02) 6277 4275","(02) 6277 2231","LP","Pearce","PO Box 1005","Midland","WA","6936","(08) 9294 2888","(08) 9294 3222","",""
"WA","Price","Melissa","Lee","","M. L.","Ms","Ms","MP","FEMALE","(02) 6277 4242","(02) 6277 8554","LP","Durack","2B/209 Foreshore Drive","Geraldton","WA","6530","(08) 9921 7990","(08) 9964 2195","",""
"WA","Randall","Don","James","","D. J.","Mr","Mr","MP","MALE","(02) 6277 2090","(02) 6277 8425","LP","Canning","PO Box 465","Kelmscott","WA","6111","(08) 9390 1255","(08) 9390 1211","",""
"WA","Simpkins","Luke","Xavier Linton","","L. X. L.","Mr","Mr","MP","MALE","(02) 6277 4009","(02) 6277 8423","LP","Cowan","PO Box 219","Kingsway","WA","6065","(08) 9409 5100","(08) 9409 4100","",""
"WA","Wilson","Richard","James","Rick","R. J.","Mr","Mr","MP","MALE","(02) 6277 4101","(02) 6277 2073","LP","O'Connor","PO Box 10415","Kalgoorlie","WA","6430","(08) 9021 2033","(08) 9021 2044","",""
"WA","Wyatt","Kenneth","George","Ken","K. G.","Mr","Mr","AM, MP","MALE","(02) 6277 4707","(02) 6277 8552","LP","Hasluck","PO Box 325","Forrestfield","WA","6058","(08) 9359 0197","(08) 9359 0322","",""
